genus	statistic	p.value	parameter	method	Schloss	Young	Jackson	Charles River	Taconic	Envigo	p.value.adj
Anaerostipes	9.754222972972972	0.08250639741359625	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0	9.196247930844215e-5	0	0.1583883548167553
Anaerotruncus	9.676691729323233	0.08493181734011328	5	Kruskal-Wallis rank sum test	0	0	0	0	0	5.254998817625266e-5	0.1583883548167553
Desulfovibrio	9.670329670329597	0.08513374071400598	5	Kruskal-Wallis rank sum test	0	0	0	0	0	6.30599858115032e-4	0.1583883548167553
Prevotellaceae unclassified	9.521761363636397	0.08997701757742048	5	Kruskal-Wallis rank sum test	0	0	7.356998344675372e-5	0	2.2990619827110538e-5	0.06778948474736593	0.1635945774134918
Ruminococcus	9.370415950625484	0.09517081844854779	5	Kruskal-Wallis rank sum test	7.970081540064986e-4	8.506529336030899e-4	2.57494942063638e-4	0.002176445343633131	0	1.57649964528758e-4	0.16919256613075162
Firmicutes unclassified	9.155077588528345	0.10303622573697044	5	Kruskal-Wallis rank sum test	0.001410091349396113	0.0018162589663417326	0.0018392495861688433	0.011035497517013059	0.007173073386058488	0.0018129745920807169	0.1791934360642964
Clostridiales unclassified	8.697478922606756	0.12175634067125578	5	Kruskal-Wallis rank sum test	0.015081846606584513	0.021634173257311016	0.032186867757954755	0.045061614861136655	0.025749494206363802	0.007698573267821015	0.20724483518511622
Ruminococcaceae unclassified	7.939629887800137	0.15959427702781404	5	Kruskal-Wallis rank sum test	0.009165593771074735	0.02140426705903991	0.02122494022438845	0.02351174054319171	0.02223192937281589	0.01431987177802885	0.26599046171302343
Clostridium XlVb	7.343528712348049	0.19631936990648136	5	Kruskal-Wallis rank sum test	6.743915149285758e-4	5.287842560235423e-4	0.001066764759977929	0.0012568205505487096	0.001747287106860401	0.0023384744738432434	0.32052142025547975
Neorhizobium	7.000000000000047	0.22064030793670728	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-5	0	0	0	0.35302449269873165
Oscillibacter	6.1647924392669	0.2905126064546603	5	Kruskal-Wallis rank sum test	0.002850836858561707	0.00469008644473055	0.005959168659187051	0.005088590521733799	0.0038624241309545707	0.0026800493969888857	0.4557060493406436
Lactobacillales unclassified	5.66666666666676	0.34001609192153887	5	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	0	0.503727543587465
Oxalobacteraceae unclassified	5.66666666666676	0.34001609192153887	5	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	0	0.503727543587465
Veillonella	5.66666666666676	0.34001609192153887	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0	0	0	0.503727543587465
Gp2 unclassified	5.4736842105263195	0.36084013259066283	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-5	3.0654159769480714e-5	0	0	0.5154859037009469
Phenylobacterium	5.4736842105263195	0.36084013259066283	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	3.678499172337686e-5	0	0	0	0.5154859037009469
Adhaeribacter	4.714285714285924	0.45173412986206607	5	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0.5736306410946871
Bacillus	4.714285714285924	0.45173412986206607	5	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0.5736306410946871
Dactylosporangium	4.714285714285924	0.45173412986206607	5	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0.5736306410946871
Desulfovibrionales unclassified	4.714285714285924	0.45173412986206607	5	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0.5736306410946871
Lactobacillaceae unclassified	4.714285714285924	0.45173412986206607	5	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0.5736306410946871
Peptostreptococcaceae unclassified	4.714285714285924	0.45173412986206607	5	Kruskal-Wallis rank sum test	0	0	0	0	0	2.627499408812633e-5	0.5736306410946871
Streptococcus	4.789473684210555	0.44210971266981336	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	3.0654159769480714e-5	0	0	0.5736306410946871
Alishewanella	4.000000000000055	0.5494159513527724	5	Kruskal-Wallis rank sum test	0	0	0	0	2.2990619827110538e-5	0	0.6023027544504342
Anaerofustis	4.000000000000055	0.5494159513527724	5	Kruskal-Wallis rank sum test	0	0	0	0	4.5981239654221075e-5	0	0.6023027544504342
Anaerovorax	4.3007518796991375	0.5069760417938678	5	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	2.627499408812633e-5	0.6023027544504342
Cloacibacterium	4.000000000000055	0.5494159513527724	5	Kruskal-Wallis rank sum test	0	0	0	0	2.2990619827110538e-5	0	0.6023027544504342
Fusobacterium	3.99871299871292	0.5496012634360212	5	Kruskal-Wallis rank sum test	0	0	3.678499172337686e-5	3.0654159769480714e-5	0	2.627499408812633e-5	0.6023027544504342
Geodermatophilus	4.000000000000055	0.5494159513527724	5	Kruskal-Wallis rank sum test	0	0	0	0	2.2990619827110538e-5	0	0.6023027544504342
Proteobacteria unclassified	4.27747252747255	0.5101966756542724	5	Kruskal-Wallis rank sum test	0	0	0	3.0654159769480714e-5	0	5.254998817625266e-5	0.6023027544504342
Pseudomonadaceae unclassified	4.476403723483242	0.48304673341186033	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0	0	9.196247930844215e-5	7.882498226437898e-5	0.6023027544504342
Pseudomonas	4.000000000000055	0.5494159513527724	5	Kruskal-Wallis rank sum test	0	0	0	0	2.2990619827110538e-5	0	0.6023027544504342
Terrisporobacter	4.000000000000055	0.5494159513527724	5	Kruskal-Wallis rank sum test	0	2.2990619827110538e-5	0	0	0	0	0.6023027544504342
Staphylococcus	3.9342105263157987	0.5589264556345713	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	0	0	0	2.2990619827110538e-5	0	0.6042448169022393
Unclassified	3.828086797066009	0.5744233023777895	5	Kruskal-Wallis rank sum test	0.006590644350438354	0.01285175648335479	0.009306602906014346	0.015541659003126724	0.006920176567960272	0.002154549515226359	0.6127181892029755
Enterobacteriaceae unclassified	3.4630548068283873	0.6289851325039726	5	Kruskal-Wallis rank sum test	2.758874379253265e-4	4.368217767151002e-4	5.14989884127276e-4	3.371957574642879e-4	4.598123965422108e-4	0.17168081137181743	0.6620896131620764
Acetatifactor	2.7384829650710025	0.7402266394147037	5	Kruskal-Wallis rank sum test	0.002850836858561707	0.007471951443810925	0.0040831340812948315	0.005854944515970817	0.002207099503402612	0.003100449302398907	0.7495965968756494
Faecalibacterium	2.798611111111091	0.7309998747342885	5	Kruskal-Wallis rank sum test	3.0654159769480714e-5	2.2990619827110538e-5	3.678499172337686e-5	3.0654159769480714e-5	0	0	0.7495965968756494
Lactobacillus	2.77610627177701	0.7344559644818734	5	Kruskal-Wallis rank sum test	0.042823861197964566	0.056970755931579915	0.03196615780761449	0.06507878119060756	0.07688063270185765	0.04311726529861531	0.7495965968756494
Prevotella	2.3500939849623523	0.7988821706550018	5	Kruskal-Wallis rank sum test	0	6.897185948133162e-5	0	0	2.2990619827110538e-5	2.627499408812633e-5	0.7988821706550018
Acidaminococcus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Acinetobacter	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Actinomycetales unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Alphaproteobacteria unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Anaerococcus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Aquabacterium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacillales unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bacilli unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Barnesiella	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bilophila	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Brachybacterium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Bradyrhizobium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Brevibacterium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Brevundimonas	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Burkholderia	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Candidatus Saccharibacteria unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Catabacter	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Chitinophagaceae unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Chryseobacterium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Corynebacterium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Cytophagales unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Dietzia	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Diplorickettsia	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Enhydrobacter	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Enterococcaceae unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Escherichia/Shigella	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Facklamia	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Gammaproteobacteria unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Geobacillus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Gordonibacter	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Gp6 unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Hungatella	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Hydrogenoanaerobacterium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Jeotgalicoccus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Kytococcus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Labilithrix	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Listeria	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Megasphaera	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Micrococcaceae unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Micrococcus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Micromonosporaceae unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Mucilaginibacter	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Nocardiopsis	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Paracoccus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Paraprevotella	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Pectinatus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Pediococcus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Pedobacter	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Phascolarctobacterium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Phyllobacteriaceae unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Planomicrobium	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Ralstonia	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Rhodococcus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Roseomonas	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Saccharibacillus	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Sphingomonadales unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Sphingomonas	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Staphylococcaceae unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Stenotrophomonas	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Subdoligranulum	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Veillonellaceae unclassified	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
Weissella	NaN	NaN	5	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NaN
