family	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Alphaproteobacteria Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Alteromonadaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Bacteroidales Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Bradyrhizobiaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Brevibacteriaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Burkholderiales incertae sedis	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Catabacteriaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Caulobacteraceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Chitinophagaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XI	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XIII	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Corynebacteriaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Coxiellaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Cytophagaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Cytophagales Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Dermabacteraceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Dermacoccaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Desulfovibrionales Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Dietziaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Flavobacteriaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Fusobacteriaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Gammaproteobacteria Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Geodermatophilaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Gp2 Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Gp6 Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Labilitrichaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Leuconostocaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Micrococcaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Micromonosporaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Nocardiaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Nocardiopsaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Paenibacillaceae 1	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Phyllobacteriaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Planococcaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Rhizobiaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Rhodobacteraceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Sphingobacteriaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Sphingomonadaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Sphingomonadales Unclassified	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Veillonellaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Xanthomonadaceae	157.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
