family	statistic	p.value	method	alternative	colonized	not_detectable	p.value.adj
Staphylococcaceae	142.5	0.19176739819872374	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	0	0.5375964051921458
Acidaminococcaceae	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.5536360550325892
Clostridiales Unclassified	103	0.23184483832893799	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	3.555882533259763e-4	0.5536360550325892
Coriobacteriaceae	109.5	0.25005215716600837	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	9.809331126233829e-5	0.5536360550325892
Corynebacteriaceae	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.5536360550325892
Fusobacteriaceae	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.5536360550325892
Moraxellaceae	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.5536360550325892
Planococcaceae	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.5536360550325892
Rhodobacteraceae	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.5536360550325892
Rhodospirillaceae	119	0.31636346001862237	Wilcoxon rank sum test with continuity correction	two.sided	0	1.2261663907792286e-5	0.5536360550325892
Bacillaceae 1	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.6148832251620793
Bacilli Unclassified	135	0.3806419965289062	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	0	0.6148832251620793
Bifidobacteriaceae	117	0.45533613755808056	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	6.130831953896144e-5	0.7083006584236808
Anaeroplasmataceae	118	0.501037422340499	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	2.4523327815584572e-5	0.7515561335107485
Bacteroidales Unclassified	119	0.5502050870327275	Wilcoxon rank sum test with continuity correction	two.sided	6.49146912765474e-5	2.4523327815584572e-5	0.7968487467370536
Sutterellaceae	139.5	0.608186475983727	Wilcoxon rank sum test with continuity correction	two.sided	0.009271981737333521	0.016540984611611794	0.8514610663772177
Pseudomonadaceae	134	0.6537402758036285	Wilcoxon rank sum test with continuity correction	two.sided	2.16382304255158e-5	1.2261663907792286e-5	0.8857126317339482
Lachnospiraceae	138.5	0.6881577148116941	Wilcoxon rank sum test with continuity correction	two.sided	0.0026506832271256855	0.01131751578689228	0.9032070006903484
Firmicutes Unclassified	135	0.7138838978301199	Wilcoxon rank sum test with continuity correction	two.sided	8.65529217020632e-5	3.678499172337686e-5	0.9085795063292434
Porphyromonadaceae	136	0.7613193026053914	Wilcoxon rank sum test with continuity correction	two.sided	0.0021962803881898536	0.011942860646189688	0.9404532561596012
Betaproteobacteria Unclassified	132	0.8111334941281481	Wilcoxon rank sum test with continuity correction	two.sided	0.0038732432461673284	0.006327018576420821	0.9463224098161728
Burkholderiales Unclassified	132	0.8111334941281481	Wilcoxon rank sum test with continuity correction	two.sided	0.002401843577232254	0.002930537673962357	0.9463224098161728
Prevotellaceae	132	0.8340490509359431	Wilcoxon rank sum test with continuity correction	two.sided	6.49146912765474e-5	4.9046655631169145e-5	0.9467583821435029
Chitinophagaceae	126.5	0.9640971805052351	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	1.2261663907792286e-5	0.9975118631982381
Clostridiaceae 1	126.5	0.9737615807411372	Wilcoxon rank sum test with continuity correction	two.sided	3.24573456382737e-5	2.4523327815584572e-5	0.9975118631982381
Rikenellaceae	125	0.9115309105771409	Wilcoxon rank sum test with continuity correction	two.sided	6.49146912765474e-5	4.9046655631169145e-5	0.9975118631982381
Veillonellaceae	126.5	0.9640971805052351	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-5	1.2261663907792286e-5	0.9975118631982381
Verrucomicrobiaceae	128	1	Wilcoxon rank sum test with continuity correction	two.sided	1.08191152127579e-4	3.923732450493532e-4	1
Acetobacteraceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Actinomycetales Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Aerococcaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Bacillales Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Bradyrhizobiaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Brevibacteriaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Burkholderiaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Burkholderiales incertae sedis	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Catabacteriaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Clostridia Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XI	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XIII	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Coxiellaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Cytophagaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Cytophagales Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Deltaproteobacteria Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Dermabacteraceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Dermacoccaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Desulfovibrionaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Desulfovibrionales Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Dietziaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Eubacteriaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Flavobacteriaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Gammaproteobacteria Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Geodermatophilaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Gp2 Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Gp6 Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Labilitrichaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Leuconostocaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Listeriaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Micrococcaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Micromonosporaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Nocardiaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Nocardiopsaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Oxalobacteraceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Paenibacillaceae 1	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Phyllobacteriaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Rhizobiaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Sphingobacteriaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Sphingomonadaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Sphingomonadales Unclassified	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Streptococcaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
Xanthomonadaceae	127.5	NaN	Wilcoxon rank sum test with continuity correction	two.sided	0	0	NaN
