id	mouse_id	unique_cage	vendor	cage	mouse	day	collection_date	experiment	dilution1	dilution2	weight	run	plate	plate_location	duplicate_run	duplicate_plate	duplicate_plate_location	cfu1	cfu2	cfu	cfu_d1	cfu_d2	cfu_d3	cfu_d4	cfu_d5	cfu_d6	cfu_d7	clearance_status_d7	cfu_d8	cfu_d9	baseline_weight	weight_change
J12D0E2	2_Jackson_1_2	2_Jackson_1	Jackson	1	2	0	19-Feb-19	2	-1	NA	17.9	run_1	plate_3	E7	NA	NA	NA	0	NA	0	126000000	NA	3130000	5300000	1320000	4080000	65000	colonized	NA	0	17.7	0.1999999999999993
J21D0E2	2_Jackson_2_1	2_Jackson_2	Jackson	2	1	0	19-Feb-19	2	-1	NA	17.5	run_1	plate_3	E6	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	no_data	NA	NA	17.5	0
J22D0E2	2_Jackson_2_2	2_Jackson_2	Jackson	2	2	0	19-Feb-19	2	-1	NA	16.8	run_1	plate_3	E4	NA	NA	NA	0	NA	0	184000000	NA	600000	4800000	195000	593000	423000	colonized	NA	0	16.7	0.10000000000000142
C11D0E2	2_Charles River_1_1	2_Charles River_1	Charles River	1	1	0	19-Feb-19	2	-1	NA	18.1	run_1	plate_3	D12	NA	NA	NA	0	NA	0	NA	NA	20000	120000	0	0	0	not_detectable	NA	0	18.7	-0.5999999999999979
C12D0E2	2_Charles River_1_2	2_Charles River_1	Charles River	1	2	0	19-Feb-19	2	-1	NA	16.3	NA	NA	NA	NA	NA	NA	0	NA	0	40000000	89000000	1100000	NA	0	2000	200	colonized	0	0	16.9	-0.5999999999999979
C21D0E2	2_Charles River_2_1	2_Charles River_2	Charles River	2	1	0	19-Feb-19	2	-1	NA	16.8	run_1	plate_3	D8	run_1	plate_3	D10	0	NA	0	55000000	1999999.9999999998	NA	NA	0	0	0	not_detectable	0	0	17.6	-0.8000000000000007
C22D0E2	2_Charles River_2_2	2_Charles River_2	Charles River	2	2	0	19-Feb-19	2	-1	NA	18.1	run_1	plate_3	F5	NA	NA	NA	0	NA	0	25999999.999999996	NA	20000	NA	0	0	0	not_detectable	0	0	18.9	-0.7999999999999972
T11D0E2	2_Taconic_1_1	2_Taconic_1	Taconic	1	1	0	19-Feb-19	2	-1	NA	17.2	run_1	plate_3	E12	NA	NA	NA	0	NA	0	5999999.999999999	NA	NA	130000	180000	340000	10000	colonized	NA	0	17.9	-0.6999999999999993
T12D0E2	2_Taconic_1_2	2_Taconic_1	Taconic	1	2	0	19-Feb-19	2	-1	NA	17.8	run_1	plate_3	E9	NA	NA	NA	0	NA	0	46000000	NA	20000	2630000	100000	NA	8000	colonized	4000	0	17.5	0.3000000000000007
T21D0E2	2_Taconic_2_1	2_Taconic_2	Taconic	2	1	0	19-Feb-19	2	-1	NA	17.6	NA	NA	NA	NA	NA	NA	0	NA	0	120000000	NA	200000	900000	60000	NA	12000	colonized	NA	0	17.9	-0.29999999999999716
T22D0E2	2_Taconic_2_2	2_Taconic_2	Taconic	2	2	0	19-Feb-19	2	-1	NA	21.3	run_1	plate_3	F2	NA	NA	NA	0	NA	0	31000000	NA	400000	630000	100000	NA	14000	colonized	NA	0	21.8	-0.5
E11D0E2	2_Envigo_1_1	2_Envigo_1	Envigo	1	1	0	19-Feb-19	2	-1	NA	NA	run_1	plate_3	E10	NA	NA	NA	0	NA	0	22000000	52000000	NA	NA	NA	NA	NA	no_data	NA	NA	18.7	NA
E12D0E2	2_Envigo_1_2	2_Envigo_1	Envigo	1	2	0	19-Feb-19	2	-1	NA	17.5	run_1	plate_3	E5	NA	NA	NA	0	NA	0	75000000	NA	1250000	NA	0	NA	0	not_detectable	NA	0	21.5	-4
E21D0E2	2_Envigo_2_1	2_Envigo_2	Envigo	2	1	0	19-Feb-19	2	-1	NA	19.9	NA	NA	NA	NA	NA	NA	0	NA	0	5999999.999999999	15000000	2950000	21600000	NA	NA	11760000	colonized	NA	80000	20.1	-0.20000000000000284
E22D0E2	2_Envigo_2_2	2_Envigo_2	Envigo	2	2	0	19-Feb-19	2	-1	NA	18.7	run_1	plate_3	E11	NA	NA	NA	0	NA	0	19000000	NA	9670000	2930000	560000	277000	61000	colonized	38000	32000	18.2	0.5
S11D1E2	2_Schloss_1_1	2_Schloss_1	Schloss	1	1	1	20-Feb-19	2	-5	-6	18	run_2	plate_1	A5	NA	NA	NA	25999999.999999996	40000000	33000000	33000000	NA	120000	NA	0	NA	0	not_detectable	0	0	19.2	-1.1999999999999993
S12D1E2	2_Schloss_1_2	2_Schloss_1	Schloss	1	2	1	20-Feb-19	2	-5	-6	16.4	run_2	plate_1	A6	NA	NA	NA	86000000	240000000	163000000	163000000	NA	400000	20000	4000	0	0	not_detectable	0	0	16.5	-0.10000000000000142
S21D1E2	2_Schloss_2_1	2_Schloss_2	Schloss	2	1	1	20-Feb-19	2	-5	-6	17.6	run_2	plate_1	A7	NA	NA	NA	27999999.999999996	60000000	44000000	44000000	NA	140000	NA	0	0	0	not_detectable	0	0	18.1	-0.5
S22D1E2	2_Schloss_2_2	2_Schloss_2	Schloss	2	2	1	20-Feb-19	2	-5	-6	17.5	run_2	plate_1	B1	run_2	plate_1	B4	63999999.99999999	100000000	82000000	82000000	NA	40000	NA	0	0	0	not_detectable	NA	0	17.7	-0.1999999999999993
Y11D1E2	2_Young_1_1	2_Young_1	Young	1	1	1	20-Feb-19	2	-5	-6	19.2	run_2	plate_1	B7	NA	NA	NA	70000000	80000000	75000000	75000000	NA	720000	340000	24000	0	1000	colonized	0	0	19.4	-0.1999999999999993
Y12D1E2	2_Young_1_2	2_Young_1	Young	1	2	1	20-Feb-19	2	-5	-6	19.1	run_2	plate_1	B12	NA	NA	NA	25999999.999999996	80000000	53000000	53000000	NA	870000	870000	208000	214000	3800	colonized	0	0	18.9	0.20000000000000284
Y21D1E2	2_Young_2_1	2_Young_2	Young	2	1	1	20-Feb-19	2	-5	-6	18.7	run_2	plate_1	B10	NA	NA	NA	47999999.99999999	20000000	34000000	34000000	NA	120000	NA	0	0	0	not_detectable	0	0	19.2	-0.5
Y22D1E2	2_Young_2_2	2_Young_2	Young	2	2	1	20-Feb-19	2	-5	-6	18.2	NA	NA	NA	NA	NA	NA	99999999.99999999	240000000	170000000	170000000	37000000	1900000	20000	1000	0	0	not_detectable	0	0	18.4	-0.1999999999999993
J11D1E2	2_Jackson_1_1	2_Jackson_1	Jackson	1	1	1	20-Feb-19	2	-5	-6	18.4	run_2	plate_1	B9	NA	NA	NA	NA	340000000	340000000	340000000	NA	41000000	5270000	299000	1239000	32000	colonized	NA	0	18.1	0.29999999999999716
J12D1E2	2_Jackson_1_2	2_Jackson_1	Jackson	1	2	1	20-Feb-19	2	-5	-6	17.7	run_2	plate_1	A1	NA	NA	NA	51999999.99999999	200000000	126000000	126000000	NA	3130000	5300000	1320000	4080000	65000	colonized	NA	0	17.7	0
J21D1E2	2_Jackson_2_1	2_Jackson_2	Jackson	2	1	1	20-Feb-19	2	-5	-6	16.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_data	NA	NA	17.5	-0.8999999999999986
J22D1E2	2_Jackson_2_2	2_Jackson_2	Jackson	2	2	1	20-Feb-19	2	-5	-6	16.8	run_2	plate_1	A11	NA	NA	NA	88000000	280000000	184000000	184000000	NA	600000	4800000	195000	593000	423000	colonized	NA	0	16.7	0.10000000000000142
C11D1E2	2_Charles River_1_1	2_Charles River_1	Charles River	1	1	1	20-Feb-19	2	-5	-6	18.8	run_2	plate_1	A8	NA	NA	NA	NA	NA	NA	NA	NA	20000	120000	0	0	0	not_detectable	NA	0	18.7	0.10000000000000142
C12D1E2	2_Charles River_1_2	2_Charles River_1	Charles River	1	2	1	20-Feb-19	2	-5	-6	16.2	run_2	plate_1	B5	NA	NA	NA	40000000	40000000	40000000	40000000	89000000	1100000	NA	0	2000	200	colonized	0	0	16.9	-0.6999999999999993
C21D1E2	2_Charles River_2_1	2_Charles River_2	Charles River	2	1	1	20-Feb-19	2	-5	-6	16.9	run_2	plate_1	B2	NA	NA	NA	29999999.999999996	80000000	55000000	55000000	1999999.9999999998	NA	NA	0	0	0	not_detectable	0	0	17.6	-0.7000000000000028
C22D1E2	2_Charles River_2_2	2_Charles River_2	Charles River	2	2	1	20-Feb-19	2	-5	-6	17.9	run_2	plate_1	B6	NA	NA	NA	25999999.999999996	NA	25999999.999999996	25999999.999999996	NA	20000	NA	0	0	0	not_detectable	0	0	18.9	-1
T11D1E2	2_Taconic_1_1	2_Taconic_1	Taconic	1	1	1	20-Feb-19	2	-5	-6	17	run_2	plate_1	B11	NA	NA	NA	5999999.999999999	NA	5999999.999999999	5999999.999999999	NA	NA	130000	180000	340000	10000	colonized	NA	0	17.9	-0.8999999999999986
T12D1E2	2_Taconic_1_2	2_Taconic_1	Taconic	1	2	1	20-Feb-19	2	-5	-6	18.1	NA	NA	NA	NA	NA	NA	31999999.999999996	60000000	46000000	46000000	NA	20000	2630000	100000	NA	8000	colonized	4000	0	17.5	0.6000000000000014
T21D1E2	2_Taconic_2_1	2_Taconic_2	Taconic	2	1	1	20-Feb-19	2	-5	-6	17.7	run_2	plate_1	A2	NA	NA	NA	NA	120000000	120000000	120000000	NA	200000	900000	60000	NA	12000	colonized	NA	0	17.9	-0.1999999999999993
T22D1E2	2_Taconic_2_2	2_Taconic_2	Taconic	2	2	1	20-Feb-19	2	-5	-6	21.4	run_2	plate_1	A3	NA	NA	NA	22000000	40000000	31000000	31000000	NA	400000	630000	100000	NA	14000	colonized	NA	0	21.8	-0.40000000000000213
E11D1E2	2_Envigo_1_1	2_Envigo_1	Envigo	1	1	1	20-Feb-19	2	-5	-6	17.7	run_2	plate_1	A10	NA	NA	NA	23999999.999999996	20000000	22000000	22000000	52000000	NA	NA	NA	NA	NA	no_data	NA	NA	18.7	-1
E12D1E2	2_Envigo_1_2	2_Envigo_1	Envigo	1	2	1	20-Feb-19	2	-5	-6	19.7	run_2	plate_1	A9	NA	NA	NA	70000000	80000000	75000000	75000000	NA	1250000	NA	0	NA	0	not_detectable	NA	0	21.5	-1.8000000000000007
E21D1E2	2_Envigo_2_1	2_Envigo_2	Envigo	2	1	1	20-Feb-19	2	-5	-6	19.2	run_2	plate_1	A12	run_2	plate_1	B8	5999999.999999999	NA	5999999.999999999	5999999.999999999	15000000	2950000	21600000	NA	NA	11760000	colonized	NA	80000	20.1	-0.9000000000000021
E22D1E2	2_Envigo_2_2	2_Envigo_2	Envigo	2	2	1	20-Feb-19	2	-5	-6	17.2	run_2	plate_1	B3	NA	NA	NA	18000000	20000000	19000000	19000000	NA	9670000	2930000	560000	277000	61000	colonized	38000	32000	18.2	-1
S11D2E2	2_Schloss_1_1	2_Schloss_1	Schloss	1	1	2	21-Feb-19	2	-5	-6	18.6	run_2	plate_1	C9	NA	NA	NA	NA	NA	NA	33000000	NA	120000	NA	0	NA	0	not_detectable	0	0	19.2	-0.5999999999999979
S12D2E2	2_Schloss_1_2	2_Schloss_1	Schloss	1	2	2	21-Feb-19	2	-5	-6	16.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	163000000	NA	400000	20000	4000	0	0	not_detectable	0	0	16.5	-0.10000000000000142
S21D2E2	2_Schloss_2_1	2_Schloss_2	Schloss	2	1	2	21-Feb-19	2	-5	-6	17.4	run_2	plate_1	C4	NA	NA	NA	NA	NA	NA	44000000	NA	140000	NA	0	0	0	not_detectable	0	0	18.1	-0.7000000000000028
S22D2E2	2_Schloss_2_2	2_Schloss_2	Schloss	2	2	2	21-Feb-19	2	-5	-6	18.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	82000000	NA	40000	NA	0	0	0	not_detectable	NA	0	17.7	0.6000000000000014
Y11D2E2	2_Young_1_1	2_Young_1	Young	1	1	2	21-Feb-19	2	-5	-6	18.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	75000000	NA	720000	340000	24000	0	1000	colonized	0	0	19.4	-0.5
Y12D2E2	2_Young_1_2	2_Young_1	Young	1	2	2	21-Feb-19	2	-5	-6	16.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	53000000	NA	870000	870000	208000	214000	3800	colonized	0	0	18.9	-2.099999999999998
Y21D2E2	2_Young_2_1	2_Young_2	Young	2	1	2	21-Feb-19	2	-5	-6	19	run_2	plate_1	C5	NA	NA	NA	NA	NA	NA	34000000	NA	120000	NA	0	0	0	not_detectable	0	0	19.2	-0.1999999999999993
Y22D2E2	2_Young_2_2	2_Young_2	Young	2	2	2	21-Feb-19	2	-5	-6	18.5	run_2	plate_1	C6	NA	NA	NA	13999999.999999998	60000000	37000000	170000000	37000000	1900000	20000	1000	0	0	not_detectable	0	0	18.4	0.10000000000000142
J11D2E2	2_Jackson_1_1	2_Jackson_1	Jackson	1	1	2	21-Feb-19	2	-5	-6	15.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	340000000	NA	41000000	5270000	299000	1239000	32000	colonized	NA	0	18.1	-2.200000000000001
J12D2E2	2_Jackson_1_2	2_Jackson_1	Jackson	1	2	2	21-Feb-19	2	-5	-6	16.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	126000000	NA	3130000	5300000	1320000	4080000	65000	colonized	NA	0	17.7	-1.5999999999999979
J21D2E2	2_Jackson_2_1	2_Jackson_2	Jackson	2	1	2	21-Feb-19	2	-5	-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	no_data	NA	NA	17.5	NA
J22D2E2	2_Jackson_2_2	2_Jackson_2	Jackson	2	2	2	21-Feb-19	2	-5	-6	15.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	184000000	NA	600000	4800000	195000	593000	423000	colonized	NA	0	16.7	-1.299999999999999
C11D2E2	2_Charles River_1_1	2_Charles River_1	Charles River	1	1	2	21-Feb-19	2	-5	-6	18.9	run_2	plate_1	C1	NA	NA	NA	NA	NA	NA	NA	NA	20000	120000	0	0	0	not_detectable	NA	0	18.7	0.1999999999999993
C12D2E2	2_Charles River_1_2	2_Charles River_1	Charles River	1	2	2	21-Feb-19	2	-5	-6	16.3	run_2	plate_1	D1	NA	NA	NA	18000000	160000000	89000000	40000000	89000000	1100000	NA	0	2000	200	colonized	0	0	16.9	-0.5999999999999979
C21D2E2	2_Charles River_2_1	2_Charles River_2	Charles River	2	1	2	21-Feb-19	2	-5	-6	18	run_2	plate_1	C7	NA	NA	NA	1999999.9999999998	NA	1999999.9999999998	55000000	1999999.9999999998	NA	NA	0	0	0	not_detectable	0	0	17.6	0.3999999999999986
C22D2E2	2_Charles River_2_2	2_Charles River_2	Charles River	2	2	2	21-Feb-19	2	-5	-6	19	run_2	plate_1	C3	NA	NA	NA	NA	NA	NA	25999999.999999996	NA	20000	NA	0	0	0	not_detectable	0	0	18.9	0.10000000000000142
T11D2E2	2_Taconic_1_1	2_Taconic_1	Taconic	1	1	2	21-Feb-19	2	-5	-6	16.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5999999.999999999	NA	NA	130000	180000	340000	10000	colonized	NA	0	17.9	-1.7999999999999972
T12D2E2	2_Taconic_1_2	2_Taconic_1	Taconic	1	2	2	21-Feb-19	2	-5	-6	15.6	run_2	plate_1	C10	NA	NA	NA	NA	NA	NA	46000000	NA	20000	2630000	100000	NA	8000	colonized	4000	0	17.5	-1.9000000000000004
T21D2E2	2_Taconic_2_1	2_Taconic_2	Taconic	2	1	2	21-Feb-19	2	-5	-6	16.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	120000000	NA	200000	900000	60000	NA	12000	colonized	NA	0	17.9	-1.1999999999999993
T22D2E2	2_Taconic_2_2	2_Taconic_2	Taconic	2	2	2	21-Feb-19	2	-5	-6	19.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	31000000	NA	400000	630000	100000	NA	14000	colonized	NA	0	21.8	-2.400000000000002
E11D2E2	2_Envigo_1_1	2_Envigo_1	Envigo	1	1	2	21-Feb-19	2	-5	-6	19.7	run_2	plate_1	D8	NA	NA	NA	23999999.999999996	80000000	52000000	22000000	52000000	NA	NA	NA	NA	NA	no_data	NA	NA	18.7	1
E12D2E2	2_Envigo_1_2	2_Envigo_1	Envigo	1	2	2	21-Feb-19	2	-5	-6	16.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	75000000	NA	1250000	NA	0	NA	0	not_detectable	NA	0	21.5	-5
E21D2E2	2_Envigo_2_1	2_Envigo_2	Envigo	2	1	2	21-Feb-19	2	-5	-6	19.4	NA	NA	NA	NA	NA	NA	10000000	20000000	15000000	5999999.999999999	15000000	2950000	21600000	NA	NA	11760000	colonized	NA	80000	20.1	-0.7000000000000028
E22D2E2	2_Envigo_2_2	2_Envigo_2	Envigo	2	2	2	21-Feb-19	2	-5	-6	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	19000000	NA	9670000	2930000	560000	277000	61000	colonized	38000	32000	18.2	-1.1999999999999993
S11D3E2	2_Schloss_1_1	2_Schloss_1	Schloss	1	1	3	22-Feb-19	2	-3	-4	18.9	run_2	plate_2	B4	NA	NA	NA	40000	200000	120000	33000000	NA	120000	NA	0	NA	0	not_detectable	0	0	19.2	-0.3000000000000007
S12D3E2	2_Schloss_1_2	2_Schloss_1	Schloss	1	2	3	22-Feb-19	2	-3	-4	17.1	run_2	plate_2	A4	NA	NA	NA	400000	400000	400000	163000000	NA	400000	20000	4000	0	0	not_detectable	0	0	16.5	0.6000000000000014
S21D3E2	2_Schloss_2_1	2_Schloss_2	Schloss	2	1	3	22-Feb-19	2	-3	-4	18.2	run_2	plate_2	B2	NA	NA	NA	80000	200000	140000	44000000	NA	140000	NA	0	0	0	not_detectable	0	0	18.1	0.09999999999999787
S22D3E2	2_Schloss_2_2	2_Schloss_2	Schloss	2	2	3	22-Feb-19	2	-3	-4	18.7	NA	NA	NA	NA	NA	NA	40000	NA	40000	82000000	NA	40000	NA	0	0	0	not_detectable	NA	0	17.7	1
Y11D3E2	2_Young_1_1	2_Young_1	Young	1	1	3	22-Feb-19	2	-3	-4	18.8	run_2	plate_2	A7	NA	NA	NA	840000	600000	720000	75000000	NA	720000	340000	24000	0	1000	colonized	0	0	19.4	-0.5999999999999979
Y12D3E2	2_Young_1_2	2_Young_1	Young	1	2	3	22-Feb-19	2	-3	-4	17.3	run_2	plate_2	B8	NA	NA	NA	1340000	400000	870000	53000000	NA	870000	870000	208000	214000	3800	colonized	0	0	18.9	-1.5999999999999979
Y21D3E2	2_Young_2_1	2_Young_2	Young	2	1	3	22-Feb-19	2	-3	-4	19.5	run_2	plate_2	B6	NA	NA	NA	40000	200000	120000	34000000	NA	120000	NA	0	0	0	not_detectable	0	0	19.2	0.3000000000000007
Y22D3E2	2_Young_2_2	2_Young_2	Young	2	2	3	22-Feb-19	2	-3	-4	18	run_2	plate_2	B1	NA	NA	NA	1600000	2200000	1900000	170000000	37000000	1900000	20000	1000	0	0	not_detectable	0	0	18.4	-0.3999999999999986
