family	statistic	p.value	method	alternative	-1	0	p.value.adj
Burkholderiales incertae sedis	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Catabacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Chitinophagaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XI	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XIII	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Corynebacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Coxiellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Deltaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermabacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermacoccaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Desulfovibrionales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dietziaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Eubacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Flavobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gammaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Geodermatophilaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gp6 Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Labilitrichaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Leuconostocaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Listeriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micrococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micromonosporaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Moraxellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiopsaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Oxalobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Paenibacillaceae 1	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Peptostreptococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Phyllobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Planococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Proteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Rhodobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Rhodospirillaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Rikenellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Streptococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Xanthomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
